objectid,emd_cd,emd_nm,sgg_oid,col_adm_se,st_area_sh,st_length_,NUMPOINTS
1,"28245115",노오지동,104,"28245",507957.58664599998,4502.87435701000,0.000000000000000
2,"28245116",선주지동,4958,"28245",1348847.46592999995,5938.68372741000,0.000000000000000
3,"28200103",만수동,49,"28200",6120688.60470000003,13541.87729540000,10.000000000000000
40,"28110142",송월동1가,227,"28110",126930.58947799999,1727.31945957000,0.000000000000000
41,"28110143",송월동2가,228,"28110",27925.70816840000,881.00023986700,0.000000000000000
4,"28245119",갈현동,794,"28245",1461212.92012999998,7960.35110400000,0.000000000000000
5,"28245118",오류동,3010,"28245",1058774.05683999998,5121.07411116000,0.000000000000000
6,"28260117",대곡동,3982,"28260",5391519.16048000008,11179.42917900000,0.000000000000000
7,"28710410",삼산면,4225,"28710",46522072.01699999720,65359.51518100000,2.000000000000000
42,"28110144",송월동3가,229,"28110",62214.18347020000,1037.32504958000,0.000000000000000
43,"28110139",북성동2가,231,"28110",60595.09127130000,1153.22246109000,0.000000000000000
8,"28245120",둑실동,5250,"28245",2663754.88697999995,9850.55592859000,0.000000000000000
10,"28260122",청라동,4289,"28260",20576394.95609999821,26837.60259780000,7.000000000000000
44,"28110140",북성동3가,232,"28110",65168.38569730000,1405.56034157000,0.000000000000000
45,"28110119",송학동1가,233,"28110",46934.89011510000,928.69007952100,0.000000000000000
9,"28110148",운북동,6049,"28110",12410585.85879999958,22139.09235130000,0.000000000000000
31,"28245122",다남동,4320,"28245",2757265.72264999989,8017.23208853000,0.000000000000000
46,"28110141",선린동,234,"28110",38692.86240010000,1015.66517544000,0.000000000000000
11,"28260119",오류동,4611,"28260",12489356.07799999975,40781.44082070000,1.000000000000000
93,"28110134",경동,241,"28110",95545.80246430000,1709.07986585000,0.000000000000000
94,"28110110",관동2가,242,"28110",11423.97344700000,439.92186879200,0.000000000000000
95,"28110102",중앙동2가,243,"28110",9629.57067535000,410.98763783700,0.000000000000000
12,"28200109",도림동,3587,"28200",3538046.81455999985,9004.30550832000,1.000000000000000
13,"28710420",서도면,4545,"28710",13127860.08559999987,50509.25204550000,1.000000000000000
14,"28200105",서창동,2947,"28200",4043249.94008000009,12525.63914210000,4.000000000000000
96,"28110106",해안동2가,244,"28110",12481.02208450000,454.06564053400,0.000000000000000
97,"28110114",항동3가,245,"28110",13280.16992420000,461.98151747600,0.000000000000000
98,"28110103",중앙동3가,246,"28110",15757.95608950000,504.35422178000,0.000000000000000
99,"28110111",관동3가,247,"28110",11273.54628290000,434.49552514500,0.000000000000000
15,"28185106",송도동,3570,"28185",37987043.81400000304,48163.21948170000,15.000000000000000
17,"28200108",수산동,3588,"28200",2486402.42769999988,7836.39104882000,0.000000000000000
18,"28720370",자월면,3585,"28720",17672020.65920000151,84059.62229900000,3.000000000000000
16,"28200110",논현동,3284,"28200",9524333.68672999926,24969.22321640000,10.000000000000000
19,"28260103",검암동,4612,"28260",4347420.29571000021,14066.71759970000,3.000000000000000
20,"28260102",시천동,4613,"28260",2018685.92585000000,9416.82518378000,0.000000000000000
21,"28110147",운서동,3494,"28110",64685397.20750000328,50619.03575730000,3.000000000000000
22,"28110146",운남동,3495,"28110",10870102.66440000013,19328.74861210000,2.000000000000000
23,"28110128",신흥동3가,272,"28110",3198321.14479999989,11403.84486380000,2.000000000000000
24,"28110132",도원동,273,"28110",264393.66512700001,2233.47723414000,0.000000000000000
100,"28110131",율목동,248,"28110",119700.84851900001,1841.93536229000,0.000000000000000
25,"28110145",중산동,3489,"28110",13841229.33730000071,29642.65826850000,3.000000000000000
32,"28245117",이화동,4938,"28245",1535171.25145000010,6483.33134770000,0.000000000000000
26,"28110138",북성동1가,5089,"28110",3204576.88757999986,17421.55855860000,0.000000000000000
28,"28200101",구월동,2625,"28200",5385042.93632999994,11571.07221420000,8.000000000000000
27,"28110152",무의동,289,"28110",10333838.68879999965,29460.23132020000,1.000000000000000
29,"28110122",사동,5409,"28110",76099.74926680000,1226.56264149000,0.000000000000000
30,"28110123",신생동,5410,"28110",127011.76694400000,2444.29704933000,0.000000000000000
33,"28245107",병방동,119,"28245",1580779.26564000011,9370.73673931000,2.000000000000000
34,"28200107",남촌동,1027,"28200",3741057.41210999992,9721.76889875000,1.000000000000000
35,"28200102",간석동,1986,"28200",4253943.30222999956,12852.78231260000,5.000000000000000
36,"28245102",계산동,1415,"28245",3990244.07720999978,10222.44042130000,7.000000000000000
37,"28185101",옥련동,1330,"28185",4064542.73237999994,9166.82544471000,4.000000000000000
38,"28185104",청학동,37,"28185",2386128.45741999988,8731.63317989000,1.000000000000000
39,"28110118",항동7가,226,"28110",5932729.70442000031,26673.98689390000,1.000000000000000
47,"28177106",관교동,35,"28177",898930.02799400000,5696.89631154000,2.000000000000000
48,"28177102",용현동,689,"28177",4327868.17317999993,11504.83423900000,4.000000000000000
49,"28177104",도화동,370,"28177",3849137.89199999999,10889.09338930000,3.000000000000000
50,"28177107",문학동,38,"28177",1717742.32859999989,6822.42222484000,1.000000000000000
51,"28177105",주안동,372,"28177",6181621.33997999970,15439.58235500000,6.000000000000000
57,"28237109",구산동,705,"28237",2479747.02823999990,8289.12888912000,1.000000000000000
52,"28177101",숭의동,690,"28177",2013163.91088999994,7373.27985823000,2.000000000000000
53,"28177103",학익동,691,"28177",5877964.00791999977,15216.26083290000,5.000000000000000
104,"28245105",임학동,1413,"28245",560986.28623299999,3564.82282111000,0.000000000000000
54,"28245111",귤현동,4340,"28245",3586540.97427000012,10774.77988220000,1.000000000000000
55,"28245110",동양동,1092,"28245",3190990.02045000019,11198.13755080000,1.000000000000000
56,"28245123",장기동,4954,"28245",762938.50783999998,4752.26428132000,1.000000000000000
58,"28237107",부개동,66,"28237",2513867.76291000005,9816.64346999000,7.000000000000000
59,"28237102",십정동,57,"28237",3523065.43655999983,8635.58990553000,6.000000000000000
60,"28237105",삼산동,385,"28237",3391468.15827000001,10134.90441660000,6.000000000000000
61,"28237108",일신동,723,"28237",1831424.33780000010,6316.49404182000,1.000000000000000
62,"28237101",부평동,68,"28237",6251542.19221999962,13854.01579140000,6.000000000000000
63,"28237106",갈산동,52,"28237",1718931.62899999996,7129.97015553000,3.000000000000000
64,"28237104",청천동,53,"28237",4923984.91868999973,11811.37968010000,2.000000000000000
65,"28237103",산곡동,54,"28237",5450387.93362000026,11486.67468520000,10.000000000000000
66,"28260112",가좌동,3329,"28260",8902076.78924999945,16655.35681140000,4.000000000000000
67,"28260111",원창동,3013,"28260",8662765.09562000073,26365.30239050000,0.000000000000000
70,"28245109",박촌동,106,"28245",1503527.12557999999,9358.38462291000,1.000000000000000
68,"28260113",마전동,2050,"28260",5279824.31787999999,16206.07220230000,4.000000000000000
69,"28260118",금곡동,2051,"28260",4342548.51446999982,10267.78510480000,1.000000000000000
71,"28245104",서운동,108,"28245",2418143.09366999986,6669.33325758000,1.000000000000000
72,"28245106",용종동,111,"28245",831805.74538700003,4584.52862480000,2.000000000000000
73,"28200104",장수동,53,"28200",6976695.65785000101,12893.71164430000,0.000000000000000
74,"28245121",목상동,116,"28245",2176120.46761999978,7982.06799280000,0.000000000000000
75,"28245112",상야동,3673,"28245",2871086.90794999991,10538.37801620000,1.000000000000000
76,"28245114",평동,3970,"28245",649042.67549599998,4347.50031199000,0.000000000000000
77,"28200106",운연동,1665,"28200",2991369.48933999985,8852.77399362000,0.000000000000000
78,"28720350",덕적면,690,"28720",36738593.74080000073,159365.87465300001,0.000000000000000
79,"28720360",영흥면,3266,"28720",26678566.39220000431,62652.51348490000,1.000000000000000
80,"28260115",원당동,97,"28260",3389856.38345000008,9787.51591978000,4.000000000000000
81,"28260107",심곡동,769,"28260",2133594.05249000015,8106.64752651000,2.000000000000000
82,"28185103",연수동,33,"28185",3510607.10911000008,8958.75420106000,5.000000000000000
83,"28185102",선학동,2298,"28185",2403948.11765999999,8416.81721436000,1.000000000000000
84,"28185105",동춘동,1329,"28185",5810596.57572999969,10780.62086030000,7.000000000000000
85,"28245103",작전동,3364,"28245",2693647.73420999991,7488.33292515000,4.000000000000000
86,"28245101",효성동,3362,"28245",4994384.44692999963,9913.06974330000,6.000000000000000
87,"28110133",내동,235,"28110",96132.96838760001,1451.84186207000,0.000000000000000
88,"28110120",송학동2가,236,"28110",33950.14035180000,783.84240677300,1.000000000000000
89,"28110121",송학동3가,237,"28110",38170.73270870000,826.88182961700,0.000000000000000
90,"28110109",관동1가,238,"28110",22610.77412770000,707.79580585100,0.000000000000000
91,"28110135",용동,239,"28110",41011.04622310000,1020.48173937000,0.000000000000000
92,"28110101",중앙동1가,240,"28110",9156.80855932000,406.47091994800,0.000000000000000
101,"28245108",방축동,1411,"28245",1590567.62164000003,5687.93586489000,0.000000000000000
102,"28245113",하야동,449,"28245",815330.55223899998,5844.54529701000,0.000000000000000
105,"28260105",공촌동,109,"28260",4520028.35560999997,11058.34098750000,1.000000000000000
106,"28260108",가정동,3009,"28260",4305472.15125000011,10150.77658380000,3.000000000000000
103,"28200111",고잔동,67,"28200",8422793.04886000045,16624.17097290000,0.000000000000000
123,"28110113",항동2가,270,"28110",46485.76183050000,902.86680857100,0.000000000000000
107,"28260121",불로동,112,"28260",5400805.37040000036,11128.27868600000,2.000000000000000
108,"28260101",백석동,113,"28260",2681433.02687000018,9491.57748169000,0.000000000000000
109,"28140106",금곡동,33,"28140",143953.15038000001,2407.45095002000,0.000000000000000
110,"28140101",만석동,369,"28140",1152968.48378999997,10067.71181520000,0.000000000000000
124,"28260110",석남동,99,"28260",5346961.00762000028,12210.20226540000,4.000000000000000
111,"28140103",송현동,35,"28140",2722317.33369999984,10727.56427800000,1.000000000000000
112,"28140104",화평동,36,"28140",127611.18887800000,1574.42912267000,0.000000000000000
135,"28110125",답동,253,"28110",101012.47510200000,1342.70852650000,1.000000000000000
136,"28110116",항동5가,254,"28110",15895.29535830000,505.44760690200,0.000000000000000
137,"28110104",중앙동4가,250,"28110",15873.45346870000,503.62094466700,0.000000000000000
138,"28110124",신포동,251,"28110",38555.65273360000,948.08119594400,0.000000000000000
139,"28110108",해안동4가,255,"28110",7438.91386574000,371.90038689600,0.000000000000000
140,"28110130",유동,256,"28110",61870.54871610000,1283.74437849000,0.000000000000000
141,"28110117",항동6가,258,"28110",14462.96346080000,485.55793418500,0.000000000000000
113,"28140107",송림동,65,"28140",2298924.23168999981,12774.77607780000,4.000000000000000
114,"28110129",선화동,262,"28110",49286.87972770000,1104.94848497000,0.000000000000000
115,"28110137",전동,263,"28110",265372.34682600002,2213.65426115000,1.000000000000000
116,"28110136",인현동,264,"28110",130637.50118700000,1838.48495834000,0.000000000000000
142,"28110126",신흥동1가,259,"28110",144194.18470499999,1970.91593520000,0.000000000000000
143,"28710340",화도면,3889,"28710",42220971.12590000033,33621.51877630000,1.000000000000000
117,"28110151",덕교동,265,"28110",2982903.77772000013,15937.05854200000,0.000000000000000
118,"28110150",남북동,266,"28110",3933338.02259000018,14504.47890550000,1.000000000000000
119,"28110149",을왕동,1586,"28110",7836127.22130999900,26900.95253320000,0.000000000000000
120,"28110105",해안동1가,268,"28110",12885.83934960000,461.31151459900,0.000000000000000
121,"28110112",항동1가,269,"28110",47665.51094490000,1473.78267176000,0.000000000000000
122,"28110127",신흥동2가,261,"28110",128854.48268700000,2046.44718832000,0.000000000000000
125,"28260114",당하동,101,"28260",5169141.40673999954,15058.41187870000,5.000000000000000
126,"28260104",경서동,3010,"28260",4893095.09869999997,12952.72207860000,1.000000000000000
127,"28720310",북도면,1009,"28720",17661524.11019999906,65925.89481590000,2.000000000000000
128,"28260106",연희동,3011,"28260",2805140.22397999978,9763.24152539000,1.000000000000000
129,"28260109",신현동,1090,"28260",1150955.16463000001,4711.21084501000,3.000000000000000
130,"28260120",왕길동,2379,"28260",4996779.15998000000,12199.56764780000,1.000000000000000
131,"28140102",화수동,39,"28140",613666.69379399996,4270.80622502000,1.000000000000000
132,"28140105",창영동,66,"28140",144491.05181100001,2810.19944656000,2.000000000000000
133,"28110115",항동4가,249,"28110",14456.06385760000,482.23858760200,0.000000000000000
134,"28110107",해안동3가,252,"28110",7870.96932721000,385.49008203100,0.000000000000000
144,"28710310",선원면,45,"28710",21335344.14869999886,25841.88441400000,1.000000000000000
145,"28710390",송해면,689,"28710",22362835.50750000030,25483.21732610000,1.000000000000000
146,"28710250",강화읍,690,"28710",24787347.55739999563,31078.58828580000,4.000000000000000
147,"28710370",하점면,43,"28710",36099214.36200000346,29256.17638780000,2.000000000000000
148,"28710360",내가면,97,"28710",29702482.98790000007,26736.93992330000,1.000000000000000
149,"28710380",양사면,37,"28710",26399240.86939999834,27630.46393820000,1.000000000000000
150,"28710320",불은면,38,"28710",31430679.86910000071,34257.18213870000,2.000000000000000
151,"28710330",길상면,34,"28710",34999443.58669999987,43013.18826210000,1.000000000000000
152,"28710350",양도면,1329,"28710",35436508.54879999906,29199.80239180000,2.000000000000000
153,"28710400",교동면,65,"28710",47061164.81139999628,38173.44814280000,2.000000000000000
154,"28720380",연평면,689,"28720",7330379.65648000035,24598.19564890000,0.000000000000000
155,"28720340",대청면,2945,"28720",15705689.72479999997,45374.64319600000,2.000000000000000
156,"28720330",백령면,38,"28720",51283449.10939998925,50896.14262210000,2.000000000000000
