ㄱ,주소
엄지유치원,인천광역시 부평구 부일로 111(부개동)
햇살유치원,인천광역시 부평구 안남로 260(산곡동.현대아파트)
열림유치원,인천광역시 부평구 일신로14번길 23-1(일신동.풍림아파트 101동~110동)
성아유치원,인천광역시 부평구 마장로 48(십정동)
엔젤유치원,인천광역시 부평구 충선로 124-17(부개동)
동심유치원,인천광역시 부평구 원적로416번길 38. 동심유치원 (산곡동)
홍익유치원,인천광역시 부평구 길주로 494번길 12홍익유치원
프렌즈유치원,인천광역시 부평구 주부토로 201(갈산동.대동아파트)
한빛유치원,인천광역시 부평구 부흥로123번길 36(산곡동.뉴서울아파트)
산곡유치원,인천광역시 부평구 마장로 121. 산곡유치원 (산곡동)
파란꿈유치원,인천광역시 부평구 갈월동로 45. 파란꿈유치원 (갈산동)
은현유치원,인천광역시 부평구 길주남로125번길 12(부개동.은현빌딩)
해마루유치원,인천광역시 부평구 일신로 120(구산동.부평자이)
자연과아이들유치원,인천광역시 부평구 원적로471번길 26-6(부평동)
이바유치원,인천광역시 부평구 마장로 168. 17 (산곡동)
인천동암초등학교병설유치원,인천광역시 부평구 동암남로35번길 4(십정동. 인천동암초등학교)
인천마곡초등학교병설유치원,인천광역시 부평구 마곡로27번길 16(산곡동. 인천마곡초등학교)
인천미산초등학교병설유치원,인천광역시 부평구 원적로 391(산곡동. 미산초등학교)
드림유치원,인천광역시 부평구 충선로 158(부개동)
이든유치원,인천광역시 부평구 부개로 58(부개동)
인천백운초등학교병설유치원,인천광역시 부평구 아트센터로 130(십정동)
인천부개초등학교병설유치원,인천광역시 부평구 마분로 9. 인천부개초등학교 (부개동. 인천부개초등학교)
인천부개서초등학교병설유치원,인천광역시 부평구 부일로 39(부개동. 인천 부개서초등학교)
인천부광초등학교병설유치원,인천광역시 부평구 충선로 104(부개동. 인천부광초등학교)
인천부마초등학교병설유치원,인천광역시 부평구 안남로253번길 41(산곡동. 인천부마초등학교)
인천부평남초등학교병설유치원,인천광역시 부평구 경인로911번길 28(부평동. 인천부평남초등학교)
인천부평동초등학교병설유치원,인천광역시 부평구 부평대로88번길 19.부평동초등학교 병설 유치원(부평동)
인천부평북초등학교병설유치원,인천광역시 부평구 주부토로 292(갈산동. 인천부평북초등학교)
인천부평서초등학교병설유치원,인천광역시 부평구 부평문화로53번길 19부평서초등학교(부평동.북부교육지원청)
인천부일초등학교병설유치원,인천광역시 부평구 부흥북로 175. 인천부일초등학교 (부개동)
인천용마초등학교병설유치원,인천광역시 부평구 세월천로30번길 58(청천동. 인천용마초등학교병설유치원)
인천십정초등학교병설유치원,인천광역시 부평구 배곶북로 10-6. 인천십정초등학교 (십정동)
인천산곡초등학교병설유치원,인천광역시 부평구 길주로354번길 39(산곡동. 인천산곡초등학교)
인천갈월초등학교병설유치원,인천광역시 부평구 주부토로 165(갈산동. 인천갈월초등학교)
The큰빛유치원,인천광역시 부평구 장제로195번길 42. The큰빛유치원 (부평동)
청담유치원,인천광역시 부평구 동수천로 70. 부개대동유치원 (부개동)
정민유치원,인천광역시 부평구 부흥로111번길 51(산곡동)
인천한길초등학교병설유치원,인천광역시 부평구 영성중로32(삼산동. 인천한길초등학교)
인천후정초등학교병설유치원,인천광역시 부평구 영성서로 56(삼산동. 인천후정초등학교)
인천굴포초등학교병설유치원,인천광역시 부평구 충선로234번길 19(삼산동. 굴포초등학교)
인천진산초등학교병설유치원,인천광역시 부평구 굴포로 194-10(삼산동. 인천진산초등학교)
인천영선초등학교병설유치원,인천광역시 부평구 충선로 293(삼산동. 인천영선초등학교)
인천금마초등학교병설유치원,인천광역시 부평구 일신로 88(구산동. 금마초등학교)
삼산유치원,인천광역시 부평구 충선로311번길 25-14(삼산동)
인천상정초등학교병설유치원,인천광역시 부평구 상정로 50병설유치원 (십정동. 인천상정초등학교)
예원유치원,인천광역시 부평구 충선로 262(삼산동.예원유치원)
무지개유치원,인천광역시 부평구 안남로41번길 3. 무지개유치원 (부평동)
인천부원초등학교병설유치원,인천광역시 부평구 원적로472번길 29(부평동. 인천부원초등학교)
경희동화나라유치원,인천광역시 부평구 부흥로327번길 13. 경희동화나라유치원 (부평동)
숲속유치원,인천광역시 부평구 산청로17번길 77-1숲속유치원 (산곡동)
인천개흥초등학교,인천광역시 부평구 길주남로65번길 11(부평동. 인천개흥초등학교)
인천대정초등학교,인천광역시 부평구 안남로 115(산곡동. 인천대정초등학교)
인천상정초등학교,인천광역시 부평구 상정로 50(십정동. 인천상정초등학교)
인천갈산초등학교,인천광역시 부평구 갈월동로 55(갈산동.갈산초등학교)
인천갈월초등학교,인천광역시 부평구 주부토로 165(갈산동. 인천갈월초등학교)
인천구산초등학교,인천광역시 부평구 부개로 93(부개동. 인천구산초등학교)
인천동수초등학교,인천광역시 부평구 동수로120번길 10(부개동)
인천동암초등학교,인천광역시 부평구 동암남로35번길 4. 동암초등학교 (십정동.동암초등학교)
인천마곡초등학교,인천광역시 부평구 마곡로27번길 16(산곡동.인천마곡초등학교)
인천마장초등학교,인천광역시 부평구 안남로 266(청천동. 인천마장초등학교)
인천미산초등학교,인천광역시 부평구 원적로 391(산곡동. 미산초등학교)
인천백운초등학교,인천광역시 부평구 아트센터로 130(십정동)
인천부개초등학교,인천광역시 부평구 마분로 9.인천부개초등학교(부개동. 인천부개초등학교)
인천부개서초등학교,인천광역시 부평구 부일로 39(부개동. 인천 부개서초등학교)
인천부곡초등학교,인천광역시 부평구 마장로272번길 73(산곡동)
인천부광초등학교,인천광역시 부평구 충선로 104(부개동)
인천부내초등학교,인천광역시 부평구 수변로 129(부개동)
인천부마초등학교,인천광역시 부평구 안남로253번길 41(산곡동. 인천부마초등학교)
인천부원초등학교,인천광역시 부평구 원적로472번길 29(부평동. 인천부원초등학교)
인천부평남초등학교,인천광역시 부평구 경인로911번길 28(부평동. 인천부평남초등학교)
인천부평동초등학교,인천광역시 부평구 부평대로88번길 19(부평동. 인천부평동초등학교)
인천부평북초등학교,인천광역시 부평구 주부토로 292(갈산동. 인천부평북초등학교)
인천부평서초등학교,인천광역시 부평구 부평문화로53번길 19. 부평서초등학교 (부평동. 북부교육청)
인천부흥초등학교,인천광역시 부평구 부흥로366번길 34(부평동. 인천부흥초등학교)
인천부일초등학교,인천광역시 부평구 부흥북로 175(부개동. 인천부일초등학교)
인천산곡초등학교,인천광역시 부평구 길주로354번길 39(산곡동. 인천산곡초등학교)
인천산곡남초등학교,인천광역시 부평구 부흥로144번길 30(산곡동. 산곡남초등학교)
인천산곡북초등학교,인천광역시 부평구 산청로 18(산곡동. 인천산곡북초등학교)
인천삼산초등학교,인천광역시 부평구 후정동로 44(삼산동)
인천용마초등학교,인천광역시 부평구 세월천로30번길 58(청천동. 인천용마초등학교)
인천신촌초등학교,인천광역시 부평구 경원대로 1215(십정동. 인천신촌초등학교)
인천십정초등학교,인천광역시 부평구 배곶북로 10-6. 인천십정초등학교 (십정동)
인천일신초등학교,인천광역시 부평구 항동로75번길 36(일신동. 인천일신초등학교)
인천청천초등학교,인천광역시 부평구 산청로127번길 12-5(청천동. 인천청천초등학교)
인천하정초등학교,인천광역시 부평구 이규보로 14(십정동. 인천하정초등학교)
인천한길초등학교,인천광역시 부평구 영성중로 32(삼산동)
인천후정초등학교,인천광역시 부평구 영성서로 56(삼산동)
인천굴포초등학교,인천광역시 부평구 충선로234번길 19. 인천굴포초등학교 (삼산동)
인천진산초등학교,인천광역시 부평구 굴포로 194-10(삼산동. 인천진산초등학교)
인천영선초등학교,인천광역시 부평구 충선로 293(삼산동.영선초등학교)
인천금마초등학교,인천광역시 부평구 일신로 88(구산동. 금마초등학교)
한일초등학교,인천광역시 부평구 원적로 247(산곡동)
구산중학교,인천광역시 부평구 수변로 199(부개동. 구산중학교)
인천상정중학교,인천광역시 부평구 경원대로 1083(십정동. 상정중학교)
갈산중학교,인천광역시 부평구 주부토로 166(갈산동. 갈산중학교)
동암중학교,인천광역시 부평구 동암산로 43번길 12(십정동)
부광중학교,인천광역시 부평구 충선로 140. 부광중학교 (부개동)
부원중학교,인천광역시 부평구 경원대로 1339(부평동. 인천 부원중학교)
부원여자중학교,인천광역시 부평구 부영로 88(부평동. 부원여자중학교)
부일중학교,인천광역시 부평구 영성로 3(삼산동. 부일중학교)
부일여자중학교,인천광역시 부평구 동수로 8(부평동. 부일여자중학교)
부평중학교,인천광역시 부평구 부흥북로57번길 10(부평동. 부평중학교)
부평서중학교,인천광역시 부평구 화랑로 29(산곡동 310-23. 부평서중학교)
부평서여자중학교,인천광역시 부평구 경원대로 1213(십정동. 부평서여자중학교)
부평여자중학교,인천광역시 부평구 부평문화로 193-1(부개동. 부평여자중학교)
부흥중학교,인천광역시 부평구 충선로 152(부개동. 인천부흥중학교)
산곡중학교,인천광역시 부평구 원적로300번길 14(산곡동. 산곡중학교)
산곡남중학교,인천광역시 부평구 안남로 187(산곡동. 산곡남중학교)
산곡여자중학교,인천광역시 부평구 마장로204번길 37(산곡동. 산곡여자중학교)
청천중학교,인천광역시 부평구 마장로364번길 23(청천동. 청천중학교)
삼산중학교,인천광역시 부평구 충선로 308.삼산중학교 (삼산동)
진산중학교,인천광역시 부평구 충선로234번길 70(삼산동. 진산중학교)
부평동중학교,인천광역시 부평구 수변로107번길 4(부개동. 부평동중학교)
인천새봄초등학교병설유치원,인천광역시 연수구 앵고개로104번길 34. 34 (동춘동. 인천새봄초등학교)
인천첨단초등학교병설유치원,인천광역시 연수구 송도교육로 20(송도동. 인천첨단초등학교)
미예뜰유치원,인천광역시 남동구 경신로 42(수산동)
아이웰유치원,인천광역시 연수구 청량로194번길 8(옥련동)
참조은유치원,인천광역시 남동구 구월로137번길 63(간석동.참조은어린이집)
인천예송초등학교병설유치원,인천광역시 연수구 컨벤시아대로252번길 75. 인천예송초병설유치원 (송도동. 인천예송초등학교)
인천명선초등학교병설유치원,인천광역시 연수구 컨벤시아대로42번길 64(송도동. 인천명선초등학교)
인천간석초등학교병설유치원,인천광역시 남동구 석산로208번길 37(구월동. 간석초등학교)
인천남촌초등학교병설유치원,인천광역시 남동구 남촌로 101(남촌동)
인천현송초등학교병설유치원,인천광역시 연수구 아카데미로(송도동)
인천구월서초등학교병설유치원,인천광역시 남동구 문화서로77번길 14(구월동)
인천만수초등학교병설유치원,인천광역시 남동구 소래로 652(만수동. 만수초병설유치원)
인천사리울초등학교병설유치원,인천광역시 남동구 아암대로1437번길 50(논현동)
인천신정초등학교병설유치원,인천광역시 연수구 아트센터대로97번길 72(송도동)
인천원동초등학교병설유치원,인천광역시 남동구 논고개로 38(논현동)
인천예송유치원,인천광역시 연수구 컨벤시아대로302번길 23(송도동)
자연발도르프유치원,인천광역시 남동구 백범로297번길 26(간석동)
인천만월초등학교병설유치원,인천광역시 남동구 선수촌로 28(구월동. 인천만월초등학교)
인천송일초등학교병설유치원,인천광역시 연수구 컨벤시아대로252번길 15(송도동)
인천장서초등학교병설유치원,인천광역시 남동구 서창남순환로 109(서창동. 인천장서초등학교)
인천논곡초등학교병설유치원,인천광역시 남동구 함박뫼로 429논곡초등학교병설유치원(논현동)
인천동부초등학교병설유치원,인천광역시 남동구 만수서로33번길 25(만수동. 동부초등학교)
인천소래초등학교병설유치원,인천광역시 남동구 장도로 2(논현동. 소래초등학교)
인천동춘초등학교병설유치원,인천광역시 연수구 앵고개로 224(동춘동. 동춘초등학교)
인천주원초등학교병설유치원,인천광역시 남동구 주안로259번길 28(간석동)
프라임명지유치원,인천광역시 남동구 방축로 482(간석동)
인천성리초등학교병설유치원,인천광역시 남동구 성리로 32-2(구월동. 성리초등학교 병설유치원)
인천장아초등학교병설유치원,인천광역시 남동구 서창방산로 93(서창동)
인천인동초등학교병설유치원,인천광역시 남동구 백범로248번길 38(만수동. 인동초등학교)
인천장수초등학교병설유치원,인천광역시 남동구 담방로 121(만수동. 장수초등학교)
인천축현초등학교병설유치원,인천광역시 연수구 청량로 176(옥련동. 축현초등학교)
인천신월초등학교병설유치원,인천광역시 남동구 인주대로776번길 14. 인천신월초등학교 (구월동. 신월초등학교)
인천도림초등학교병설유치원,인천광역시 남동구 논고개로334번길 21. 인천도림초등학교 (도림동)
인천서창초등학교병설유치원,인천광역시 남동구 장아산로174번길 8(서창동)
인천먼우금초등학교병설유치원,인천광역시 연수구 해돋이로84번길 33. 인천먼우금초등학교 (송도동. 인천먼우금초등학교)
인천신송초등학교병설유치원,인천광역시 연수구 해돋이로56번길 28(송도동. 신송초등학교)
인천장도초등학교병설유치원,인천광역시 남동구 포구로 112(논현동. 인천장도초등학교)
인천동방초등학교병설유치원,인천광역시 남동구 논현역로 31(논현동. 동방초등학교)
글로벌레인보우유치원,인천광역시 연수구 센트럴로 233(송도동)
반디유치원,인천광역시 남동구 서창남순환로 124(서창동)
아이큰별유치원,인천광역시 남동구 선수촌공원로 56(구월동. 아이큰별유치원(유2))
에듀피아유치원,인천광역시 남동구 장아산로232번길 16-5(서창동)
인천청학초등학교병설유치원,인천광역시 연수구 함박뫼로 25(청학동. 청학초병설유치원)
인천미송유치원,인천광역시 연수구 아카데미로 655(송도동)
브레인유치원,인천광역시 남동구 논고개로175번길 22-9(논현동.브레인유치원)
인천고잔유치원,인천광역시 남동구 앵고개로815번길 71(논현동)
인천은송초등학교병설유치원,인천광역시 연수구 센트럴로 460(송도동. 인천은송초등학교)
인천송도꿈유치원,인천광역시 연수구 송도교육로 79. 인천송도꿈유치원 (송도동. 인천송도꿈유치원)
인천송담초등학교병설유치원,인천광역시 연수구(송도동 320)
숲속의유치원,인천광역시 남동구 도림북로19번길 11(도림동)
청학숲유치원,인천광역시 연수구 청학로 49(청학동)
동화나라유치원,인천광역시 연수구 원인재로 14(동춘동.무지개마을)
연수유치원,인천광역시 연수구 새말로 111(연수동.영남아파트)
사랑유치원,인천광역시 연수구 선학로 100(선학동)
부광예능유치원,인천광역시 연수구 원인재로 56(동춘동.현대아파트.현대상가.유치원)
해와달유치원,인천광역시 남동구 호구포로535번길 67(남촌동)
한울유치원,인천광역시 연수구 원인재로 304(연수동.연수경남아파트)
신도유치원,인천광역시 연수구 먼우금로 302(연수동.연수유천아파트)
큰별유치원,인천광역시 연수구 원인재로 81(동춘동.삼성아파트)
인보유치원,인천광역시 연수구 원인재로 312(연수동.연수경남아파트)
아름솔유치원,인천광역시 연수구 청능대로 124(동춘동.연수타운)
새싹유치원,인천광역시 연수구 청량로109번길 22(옥련동)
해나라유치원,인천광역시 연수구 새말로 21(연수동.동남아파트)
인천구월유치원,인천광역시 남동구 인하로 622(구월동)
온누리비전유치원,인천광역시 연수구 청량로185번길 16. 온누리비전유치원 (옥련동.서해아파트)
송도국제유치원,인천광역시 연수구 송도교육로 27(송도동)
참아름유치원,인천광역시 연수구 능허대로79번길 30(옥련동.럭키송도아파트)
꿈동산유치원,인천광역시 연수구 용담로 3(청학동.시대아파트)
청송유치원,인천광역시 연수구 원인재로 88(동춘동.삼환아파트 전체동)
새하늘유치원,인천광역시 연수구 원인재로 232(연수동)
다샘유치원,인천광역시 연수구 먼우금로83번길 12(동춘동.건영아파트)
다슬기유치원,인천광역시 연수구 새말로 134(연수동)
바다의별유치원,인천광역시 연수구 옥련로 33(옥련동.현대아파트)
기암유치원,인천광역시 남동구 서판로 43(만수동)
간석유치원,인천광역시 남동구 석산로220번길 18(구월동. 구월유치원)
청담숲유치원,인천광역시 남동구 만경로8번길 33(만수동)
동심유치원,인천광역시 남동구 성말로35번길 61(구월동.관인동심유치원)
영보유치원,인천광역시 남동구 백범로360번길 26(간석동)
조은유치원,인천광역시 남동구 인주대로 857(만수동.삼환아파트)
새인예유치원,인천광역시 남동구 구월남로 52-1(구월동.새인예유치원)
신명유치원,인천광역시 남동구 백범로101번길 25(만수동)
푸른마을유치원,인천광역시 남동구 용천로4번길 9-9(구월동.푸른마을유치원)
복자유치원,인천광역시 남동구 백범로247번길 47-23(만수동)
해승유치원,인천광역시 남동구 석정로539번길 41(간석동)
키즈월드유치원,인천광역시 연수구 원인재로 180(연수동.우성아파트)
부광유치원,인천광역시 연수구 원인재로 124. 부광유치원 (동춘동. 한양1차아파트)
딩동댕유치원,인천광역시 남동구 담방로 80(만수동)
미상지유치원,인천광역시 연수구 용담로62번길 14(청학동)
인천정각초등학교병설유치원,인천광역시 남동구 구월로 228(구월동)
인천해송초등학교병설유치원,인천광역시 연수구 인천타워대로54번길 46.인천해송초등학교(송도동)
인천상아초등학교병설유치원,인천광역시 남동구 석산로184번길 66(간석동. 인천상아초등학교)
새예지유치원,인천광역시 남동구 용천로 50(구월동)
샤인유치원,인천광역시 남동구 은봉로375번길 108(논현동.샤인유치원)
소담숲유치원,인천광역시 남동구 인주대로 923(만수동)
경희유치원,인천광역시 남동구 찬우물로 9-3. 경희유치원 (수산동)
논현유치원,인천광역시 남동구 은봉로 177(논현동. 논현유치원)
하늘땅유치원,인천광역시 연수구 함박안로156번길 15-12(연수동)
작은꽃예능유치원,인천광역시 연수구 먼우금로 123(동춘동.동춘마을아파트)
꿈의보람유치원,인천광역시 남동구 인주대로721번길 56(구월동)
삼성유치원,인천광역시 남동구 용천로 49(구월동)
해돋이유치원,인천광역시 남동구 백범로281번길 3(간석동.해돋이 교육센타)
행복한유치원,인천광역시 남동구 포구로 64-14(논현동.소래마을풍림아파트)
유석화유치원,인천광역시 남동구 걸재천로39번길 41-1(서창동.유석화유치원)
인천고잔초등학교병설유치원,인천광역시 남동구 아암대로1503번길 48(논현동)
프라임예지유치원,인천광역시 남동구 에코중앙로 192(논현동.프라임예지유치원)
에이스화인유치원,인천광역시 남동구 에코중앙로84번길 9(논현동. Ace 화인유치원)
예다원유치원,인천광역시 남동구 앵고개로941번길 23(논현동)
인천한빛초등학교병설유치원,인천광역시 남동구 서창남순환로 190-28(서창동)
제니스유치원,인천광역시 남동구 서창방산로 99(서창동)
인천송원초등학교병설유치원,인천광역시 연수구 송도과학로51번길 60(송도동)
인천송명초등학교병설유치원,인천광역시 연수구 송도교육로 19(송도동)
수피아유치원,인천광역시 남동구 찬우물로29번길 12(수산동)
아삽유치원,인천광역시 남동구 백범로 247(구월동)
유엔유치원,인천광역시 연수구 랜드마크로 113(송도동. e편한세상 송도)
인천미송초등학교병설유치원,인천광역시 연수구 아카데미로 667(송도동. 인천미송초등학교)
인천새봄초등학교,인천광역시 연수구 앵고개로104번길 34(동춘동. 인천새봄초등학교)
인천첨단초등학교,인천광역시 연수구 송도교육로 20. 인천첨단초등학교 (송도동)
인천예송초등학교,인천광역시 연수구 컨벤시아대로252번길 75(송도동. 인천예송초등학교)
인천간석초등학교,인천광역시 남동구 석산로208번길 37(구월동. 간석초등학교)
인천장서초등학교,인천광역시 남동구 서창남순환로 109(서창동)
인천송일초등학교,인천광역시 연수구 컨벤시아대로252번길 15. 인천송일초등학교 (송도동)
인천연송초등학교,인천광역시 연수구 해돋이로 248(송도동.인천연송초등학교)
인천구월초등학교,인천광역시 남동구 인주대로 721번길 49(구월동.구월초등학교)
인천구월서초등학교,인천광역시 남동구 문화서로77번길 14(구월동. 구월서초등학교)
인천남동초등학교,인천광역시 남동구 장승남로33번길 10(만수동.남동초등학교)
인천남촌초등학교,인천광역시 남동구 남촌로 101(남촌동. 남촌초등학교)
인천논곡초등학교,인천광역시 남동구 함박뫼로 429인천논곡초등학교(논현동)
인천현송초등학교,인천광역시 연수구 아카데미로312번길 96(송도동. 인천현송초등학교)
인천능허대초등학교,인천광역시 연수구 한진로 12(옥련동. 인천능허대초등학교)
인천담방초등학교,인천광역시 남동구 매소홀로 1027(만수동. 담방초등학교)
인천도림초등학교,인천광역시 남동구 논고개로334번길 21(도림동. 도림초등학교)
인천동막초등학교,인천광역시 연수구 원인재로 36(동춘동.동막초등학교)
인천명선초등학교,인천광역시 연수구 컨벤시아대로42번길 64(송도동. 인천명선초등학교)
인천송원초등학교,인천광역시 연수구 송도과학로51번길 60. 인천송원초등학교 (송도동)
인천한빛초등학교,인천광역시 남동구 서창남순환로 190-28(서창동)
인천동부초등학교,인천광역시 남동구 만수서로33번길 25(만수동. 동부초등학교)
인천동춘초등학교,인천광역시 연수구 앵고개로 224(동춘동. 동춘초등학교)
인천만수초등학교,인천광역시 남동구 소래로 652(만수동. 만수초등학교)
인천만수북초등학교,인천광역시 남동구 백범로180번길 25(만수동. 만수북초등학교)
인천사리울초등학교,인천광역시 남동구 아암대로1437번길 50(논현동. 사리울초등학교)
인천송천초등학교,인천광역시 남동구 앵고개로815번길 45(논현동)
인천신정초등학교,인천광역시 연수구 아트센터대로97번길 72(송도동.신정초등학교)
인천원동초등학교,인천광역시 남동구 논고개로 38(논현동. 원동초등학교)
인천만월초등학교,인천광역시 남동구 선수촌로 28(구월동)
인천문남초등학교,인천광역시 연수구 먼우금로 273. 인천문남초등학교 (연수동)
상인천초등학교,인천광역시 남동구 석산로141번길 29(간석동. 상인천초등학교)
인천서면초등학교,인천광역시 연수구 먼우금로 54(동춘동. 인천서면초등학교)
인천석정초등학교,인천광역시 남동구 석정로539번길 32(간석동. 석정초등학교)
인천석천초등학교,인천광역시 남동구 남동대로 828. 인천석천초등학교 (구월동)
인천선학초등학교,인천광역시 연수구 선학로 67(선학동)
인천성리초등학교,인천광역시 남동구 성리로 32-2(구월동. 성리초등학교)
인천소래초등학교,인천광역시 남동구 장도로 2(논현동. 소래초등학교)
인천송도초등학교,인천광역시 연수구 비류대로214번길 21(옥련동.송도초등학교)
인천약산초등학교,인천광역시 남동구 간석로26번길 10(간석동. 약산초등학교)
인천연성초등학교,인천광역시 연수구 원인재로 116. 인천연성초등학교 (동춘동)
인천연수초등학교,인천광역시 연수구 원인재로 324(연수동. 연수초등학교)
인천연화초등학교,인천광역시 연수구 원인재로 150(연수동)
인천옥련초등학교,인천광역시 연수구 한진로 30(옥련동. 옥련초등학교)
인천인동초등학교,인천광역시 남동구 백범로248번길 38. 인천인동초등학교 (만수동)
인천인수초등학교,인천광역시 남동구 인수로 3(만수동. 인수초등학교)
인천장수초등학교,인천광역시 남동구 담방로 121(만수동. 장수초등학교)
인천장아초등학교,인천광역시 남동구 서창방산로 93. 인천장아초등학교 (서창동)
인천조동초등학교,인천광역시 남동구 백범로124번길 164(만수동. 조동초등학교)
인천주원초등학교,인천광역시 남동구 주안로259번길 28(간석동. 주원초등학교)
인천먼우금초등학교,인천광역시 연수구 해돋이로84번길 33. 인천먼우금초등학교 (송도동. 인천먼우금초등학교)
인천중앙초등학교,인천광역시 연수구 새말로 153(연수동. 중앙초등학교)
인천청량초등학교,인천광역시 연수구 먼우금로 158(동춘동. 청량초등학교)
인천청학초등학교,인천광역시 연수구 함박뫼로 25(청학동. 청학초등학교)
인천고잔초등학교,인천광역시 남동구 아암대로1503번길 48. 인천고잔초등학교 (논현동)
인천축현초등학교,인천광역시 연수구 청량로 176. (옥련동. 축현초등학교)
인천신송초등학교,인천광역시 연수구 해돋이로56번길 28(송도동. 신송초등학교)
인천함박초등학교,인천광역시 연수구 함박뫼로 87. 함박초등학교 (연수동. 함박초등학교)
인천신월초등학교,인천광역시 남동구 인주대로776번길 14. 인천신월초등학교 (구월동. 신월초등학교)
인천새말초등학교,인천광역시 남동구 만수로50번길 12(만수동. 새말초등학교)
인천서창초등학교,인천광역시 남동구 장아산로174번길 8(서창동. 서창초등학교)
인천장도초등학교,인천광역시 남동구 포구로 112(논현동. 인천장도초등학교)
인천동방초등학교,인천광역시 남동구 논현역로 31(논현동. 동방초등학교)
인천논현초등학교,인천광역시 남동구 소래역로 102(논현동. 논현초등학교)
인천은봉초등학교,인천광역시 남동구 은봉로312번길 11. 은봉초등학교 (논현동)
인천정각초등학교,인천광역시 남동구 구월로 228(구월동.정각초등학교)
인천해송초등학교,인천광역시 연수구 인천타워대로54번길 46. 인천해송초등학교 (송도동)
인천상아초등학교,인천광역시 남동구 석산로184번길 66(간석동. 상아초등학교)
인천송명초등학교,인천광역시 연수구 송도교육로 19(송도동)
인천미송초등학교,인천광역시 연수구 아카데미로 667(송도동. 인천미송초등학교)
인천은송초등학교,인천광역시 연수구 센트럴로 460(송도동. 인천은송초등학교)
인천송담초등학교,인천광역시 연수구 아카데미로 627(송도동. 인천송담초등학교)
인천박문초등학교,인천광역시 연수구 봉재산로 138-22(동춘동.박문초등학교)
간석여자중학교,인천광역시 남동구 간석로25번길 13(간석동. 간석여자중학교)
구월중학교,인천광역시 남동구 남동대로 814(구월동)
구월여자중학교,인천 남동구 성말로13번길 78. 구월여자중학교 (구월동.구월여자중학교)
남동중학교,인천광역시 남동구 담방로 7(만수동. 남동중학교)
논곡중학교,인천광역시 남동구 논곡로 84(논현동. 논곡중학교)
동인천중학교,인천광역시 남동구 구월남로57번길 12(구월동. 동인천중학교)
연성중학교,인천광역시 연수구 원인재로 105(동춘동. 연성중학교)
만성중학교,인천광역시 남동구 인주대로 899(만수동. 만성중학교)
만수중학교,인천광역시 남동구 인수로 13(만수동.만수중학교)
인천사리울중학교,인천광역시 남동구 에코중앙로84번길 12(논현동. 사리울중학교)
인천신정중학교,인천광역시 연수구 컨벤시아대로42번길 80(송도동. 신정중학교)
만수북중학교,인천광역시 남동구 만수서로 117(만수동. 만수북중학교)
인천예송중학교,인천광역시 연수구 아카데미로 212(송도동. 예송중학교)
